title,authors,length,release_date,price
Romantic Comedy (Reese's Book Club),Curtis Sittenfeld,545,2023-04-04,35.0
The Dragonbone Chair,Tad Williams,1992,2016-07-05,49.0
Their Wicked Games,D.K. Hood,512,2023-06-13,19.95
"Women We Buried, Women We Burned",Rachel Louise Snyder,588,2023-06-13,20.99
Why Do I Do What I Don't Want to Do?,"Jonathan ""JP"" Pokluda, Jon Green - contributor",305,2023-03-14,17.49
"Hey, Hun",Emily Lynn Paulson,658,2023-05-30,15.39
Bloodshed,Molly Doyle,512,2023-03-22,19.95
A Tree Grows in Brooklyn,Betty Smith,895,2004-12-26,19.95
Contagious,Jonah Berger,410,2013-03-05,13.97
The Master and Margarita,Mikhail Bulgakov,1012,2009-09-18,27.7
If We Were Villains,M. L. Rio,770,2017-04-11,25.51
Stuff Matters,Mark Miodownik,394,2014-07-29,23.13
The Once and Future King,T. H. White,1980,2010-12-26,42.62
The Ultimate Sales Machine,Chet Holmes,688,2008-11-21,17.02
"Set for Life, Revised Edition",Scott Trench,562,2017-04-28,17.35
How Not to Hate Your Husband After Kids,Jancee Dunn,457,2017-03-21,30.79
The House of the Spirits,Isabel Allende,1131,2016-03-29,28.34
The Light Between Us,Laura Lynne Jackson,480,2015-10-27,16.49
Infinite Jest,David Foster Wallace,3372,2012-04-09,28.79
The Ends of the World,Peter Brannen,597,2017-06-13,31.93
The Bell Jar,Sylvia Plath,444,2016-02-02,18.92
A Thousand Splendid Suns,Khaled Hosseini,703,2007-05-02,18.49
A Darker Shade of Magic,V. E. Schwab,694,2015-04-21,27.99
The Things They Carried,Tim O'Brien,467,2013-10-15,17.35
Wicked,Gregory Maguire,1182,2005-11-16,41.97
Annihilation,Jeff VanderMeer,360,2014-02-04,15.19
1491,Charles C. Mann,977,2016-08-29,23.9
Their Eyes Were Watching God,Zora Neale Hurston,404,2004-12-26,19.49
Rebecca,Daphné du Maurier,888,2013-12-29,17.47
Skunk Works,"Ben R. Rich, Leo Janos",728,2015-07-14,17.47
I Don't Want to Talk About It,Terrence Real,748,2011-12-05,27.39
Standing Dead,Margaret Mizushima,578,2023-03-07,34.99
Reading Price Charts Bar by Bar,Al Brooks,878,2023-04-25,24.95
Wild Scottish Knight,Tricia O'Malley,473,2023-06-26,48.99
Nomad Capitalist,Andrew Henderson,950,2023-04-27,24.95
Passive Prospecting,"Levi Lascsak, Travis Plumb",224,2023-05-15,13.98
Fear and Loathing in Las Vegas,Hunter S. Thompson,360,2005-09-26,12.17
Talk Like TED,Carmine Gallo,462,2014-03-04,15.22
The Checklist Manifesto,Atul Gawande,369,2009-12-22,15.22
The Charisma Myth,Olivia Fox Cabane,500,2012-06-26,21.3
Flashpoint,"David Archer, Blake Banner",364,2023-06-10,19.95
What's Our Problem?,Tim Urban,838,2023-02-21,24.95
Brave the Wild River,Melissa L. Sevigny,653,2023-05-23,20.99
The Scottish Ladies' Detective Agency,Lydia Travers,577,2023-04-27,19.95
Best Men,Sidney Karger,600,2023-05-02,28.0
All the Sinners Bleed,S. A. Cosby,785,2023-06-06,25.51
The Other Wes Moore,"Wes Moore, Tavis Smiley - afterword",372,2010-04-27,13.99
Refugee,Alan Gratz,457,2017-08-01,15.21
Pound the Stone,Joshua Medcalf,289,2017-07-28,13.0
The Red Tent,Anita Diamant,710,2000-11-21,20.9
Get the Guy,Matthew Hussey,479,2013-04-09,22.9
Sabriel,Garth Nix,643,2002-12-29,28.0
The Shadow of the Wind,Carlos Ruiz Zafón,1085,2005-05-06,38.5
To Sell Is Human,Daniel H. Pink,366,2012-12-31,14.74
My Brilliant Friend,Elena Ferrante,758,2014-12-28,21.28
How to Read Literature Like a Professor,Thomas C. Foster,575,2012-12-11,25.9
Real Love,Sharon Salzberg,565,2017-06-06,20.9
"Love Your Life, Not Theirs",Rachel Cruze,398,2016-09-21,17.35
Practical Magic,Alice Hoffman,552,2012-11-06,15.22
The Danish Way of Parenting,"Jessica Joelle Alexander, Dissing Sandahl",208,2016-08-09,17.5
Out of My Mind,Sharon M. Draper,409,2016-03-29,13.99
Second Chance,Robert T. Kiyosaki,555,2015-02-23,21.91
Inkheart,Cornelia Funke,934,2004-03-25,16.72
Revelation Space,Alastair Reynolds,1332,2009-01-12,39.99
The Sophia Code,Kaia Ra,953,2017-08-17,21.7
The Tale of Despereaux,Kate DiCamillo,210,2004-02-05,13.99
Kings of the Wyld,Nicholas Eames,1069,2017-02-21,19.99
The Butterfly Garden,Dot Hutchison,553,2016-06-01,21.91
The Day After Roswell,"William J. Birnes, Philip Corso",751,2017-06-06,22.67
Twelve Hours' Sleep by Twelve Weeks Old,"Suzy Giordano, Lisa Abidin",161,2012-05-21,18.26
The 15 Commitments of Conscious Leadership,"Jim Dethmer, Diana Chapman, Kaley Klemp",473,2015-01-22,17.35
The Smartest Guys in the Room,Bethany McLean,1350,2010-11-11,42.0
Scrappy Little Nobody,Anna Kendrick,360,2016-11-15,13.99
The Candy Shop War,Brandon Mull,626,2013-05-30,4.25
Difficult Conversations,"Douglas Stone, Bruce Patton, Sheila Heen",340,2000-07-27,12.99
Higher Is Waiting,Tyler Perry,279,2017-11-14,16.49
Think and Grow Rich,Napoleon Hill,575,2007-10-16,24.95
All the Light We Cannot See,Anthony Doerr,962,2014-05-06,16.72
The Total Money Makeover,Dave Ramsey,221,2003-11-07,15.97
Will I Ever Be Good Enough?,Karyl McBride,445,2011-11-21,24.49
Mrs. Frisby and the Rats of NIMH,Robert O’Brien,373,2012-05-22,20.99
The Strait Path to Real Estate Wealth,"Kris Krohn, Kevin Clayson",421,2017-04-27,17.35
